BuildingClass,ZoningClassification,StreetFrontage,PlotSize,StreetType,AlleyAccess,PlotShape,LandFlatness,UtilitiesAvailable,PlotConfiguration,PlotSlope,BusinessDistrict,Proximity1,Proximity2,BuildingType,BuildingStyle,BuildingGrade,BuildingCondition,ConstructionYear,RenovationYear,RoofType,RoofMaterial,ExteriorCovering1,ExteriorCovering2,ExteriorFinishType,ExteriorFinishArea,ExteriorQuality,ExteriorCondition,FoundationType,BasementQuality,BasementCondition,BasementExposure,BasementFinishType1,FinishedBasementArea1,BasementFinishType2,FinishedBasementArea2,UnfinishedBasementArea,BasementArea,HeatingType,HeatingQuality,CentralAirConditioning,ElectricalSystem,GroundFloorArea,UpperFloorArea,LowQualityArea,OfficeSpace,BasementRestrooms,BasementHalfRestrooms,Restrooms,HalfRestrooms,MeetingRooms,Pantries,PantryQuality,TotalRooms,FunctionalityRating,ConferenceRooms,ConferenceRoomQuality,ParkingType,ParkingConstructionYear,ParkingFinish,ParkingSpots,ParkingArea,ParkingQuality,ParkingCondition,PavedAccess,TerraceArea,OpenBalconyArea,EnclosedBalconyArea,3SsnPorch,ScreenedArea,RecreationArea,RecreationQuality,Perimeter,MiscellaneousFeature,MiscellaneousValue,MonthListed,YearListed,ListingType,ListingCondition,OfficeCategory
20.0,RL,110.0,9833.306456019107,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,2Story,7.0,5.0,2003.0,2006.0,Hip,CompShg,HdBoard,HdBoard,,424.59917916697526,TA,Fa,PConc,Gd,TA,Gd,GLQ,992.5029625425828,Unf,0.0,1052.830031158876,1561.620379532162,GasA,Gd,Y,SBrkr,1740.0,0.0,0.0,1374.915829500848,1,0,2,0,3,1,TA,6,Typ,1,,Attchd,2003.0,Fin,2,528.0,TA,TA,Y,325.58658307574166,84.0,0.0,0.0,168.0,0.0,,,,0.0,4.0,2008.0,WD,Abnorml,3
50.0,RL,65.0,8809.115645908549,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosN,Norm,1Fam,1.5Fin,7.0,5.0,2007.0,2006.0,Gable,CompShg,MetalSd,VinylSd,,0.0,Gd,Gd,Slab,TA,TA,NA,Unf,194.0,Unf,0.0,162.0,600.0,GasA,Ex,Y,SBrkr,1060.0,484.2948374688674,0.0,1700.0,0,0,3,0,4,1,TA,8,Typ,0,,Attchd,,Fin,3,827.0526673964663,TA,TA,Y,0.0,116.0,0.0,0.0,0.0,0.0,,,,0.0,5.0,2007.0,WD,Partial,4
60.0,RL,80.0,14682.562206763569,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,7.0,5.0,1978.0,2004.0,Gable,CompShg,VinylSd,MetalSd,,84.0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,851.0,Unf,0.0,0.0,1042.7530200950641,GasA,Ex,Y,SBrkr,1364.0,755.3794071097946,0.0,2201.23027799957,1,0,2,0,4,1,Ex,8,Typ,1,,Detchd,2005.0,Unf,2,672.0,TA,TA,Y,292.78951270659206,27.0,0.0,0.0,0.0,0.0,,NA,,0.0,10.0,2008.0,WD,Partial,4
160.0,RM,21.0,7701.815120357849,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Artery,Norm,Duplex,1Story,3.0,5.0,1890.0,1959.0,Gable,CompShg,WdShing,Wd Shng,,0.0,TA,TA,CBlock,NA,NA,No,NA,0.0,NA,0.0,210.0,0.0,GasA,Fa,N,SBrkr,899.0,0.0,0.0,1118.0512904538207,0,0,1,0,5,2,TA,6,Typ,0,,,1945.0,NA,0,0.0,NA,NA,N,0.0,0.0,0.0,0.0,0.0,0.0,,NA,,0.0,8.0,2009.0,WD,Normal,4
20.0,RL,94.0,14430.267327392197,Pave,,IR1,Lvl,AllPub,Inside,Mod,NAmes,Feedr,Norm,1Fam,1Story,6.0,5.0,1969.0,1964.0,Hip,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,TA,,Mn,LwQ,151.35386284719874,Unf,0.0,998.8580291417761,1698.1374228136788,GasA,Ex,N,SBrkr,2039.9725274369225,0.0,0.0,1845.400176665571,0,1,1,0,3,1,TA,6,Typ,1,,Attchd,2003.0,Unf,2,471.0,TA,TA,Y,186.0,275.35423965461274,140.0,0.0,0.0,0.0,,NA,,0.0,12.0,2008.0,WD,Normal,2
80.0,RL,59.0,8935.25246085447,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,TwnhsE,1Story,5.0,7.0,1948.0,1975.0,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,Ex,PConc,TA,TA,No,LwQ,0.0,Unf,0.0,666.0,969.0,GasA,Ex,Y,SBrkr,1547.1214248443853,0.0,0.0,1456.0,0,0,2,0,4,1,TA,8,Typ,0,,Attchd,1957.0,Unf,1,0.0,TA,NA,Y,0.0,36.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2006.0,WD,Normal,1
70.0,RM,60.0,7800.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6.0,5.0,1977.0,1960.0,Gable,CompShg,VinylSd,MetalSd,,183.0,Gd,TA,CBlock,TA,,No,BLQ,450.2918306761955,Unf,82.01051267743244,844.7837892075872,1339.9578898262107,GasA,Ex,Y,SBrkr,1102.813670756153,712.0023144851085,0.0,1659.2689443612996,0,0,2,0,2,1,TA,7,Typ,1,,Detchd,1962.0,RFn,3,652.95366583934,TA,TA,Y,140.0,21.0,165.40061802845412,0.0,189.08899088482698,0.0,,NA,,0.0,8.0,2006.0,WD,Normal,2
20.0,RL,62.0,8771.192131459018,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,9.0,5.0,2007.0,2005.0,Gable,CompShg,VinylSd,MetalSd,,119.0,Gd,TA,PConc,Gd,TA,No,BLQ,283.6913922663029,Unf,0.0,1092.792192358148,1652.0,GasA,Gd,Y,SBrkr,1478.0,600.0,0.0,2112.5394116657067,0,0,2,1,3,1,Gd,6,Typ,1,,Attchd,2006.0,RFn,2,569.0,TA,TA,Y,113.0,238.0,0.0,0.0,0.0,0.0,,,,0.0,7.0,2006.0,WD,Normal,4
50.0,RL,68.0,10998.46330126216,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,RRAn,Norm,1Fam,1.5Fin,7.0,5.0,2004.0,2003.0,Gable,CompShg,MetalSd,VinylSd,,160.0,Gd,TA,PConc,Gd,TA,No,GLQ,1127.0405614810245,Unf,0.0,810.0912898227247,1602.0,GasA,Ex,Y,SBrkr,1482.0,663.5299728117261,0.0,2176.5300315485792,0,0,2,0,4,1,Gd,8,Typ,0,,Attchd,2005.0,RFn,2,840.0,TA,TA,Y,0.0,136.0,0.0,0.0,123.0068878729788,0.0,,,,0.0,5.0,2008.0,WD,Normal,4
70.0,RM,68.0,11641.995769678384,Pave,,IR1,Lvl,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1.5Fin,7.0,6.0,1940.0,1998.0,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,1558.977858636887,1392.2242945338335,GasA,Ex,Y,SBrkr,1428.0,796.5650241531104,0.0,2584.473466473529,1,0,2,1,3,1,Gd,10,Typ,0,NA,Attchd,1972.0,RFn,2,566.0,TA,TA,Y,197.0,0.0,96.0,0.0,0.0,0.0,,,,0.0,5.0,2009.0,New,Partial,4
